item,abc,xyz,abc_xyz
sku6744,C,Z,CZ
sku16201,C,X,CX
sku1608,C,Z,CZ
sku23034,C,Z,CZ
sku9769,C,X,CX
sku14001,C,Z,CZ
sku29905,C,Z,CZ
sku26886,C,Z,CZ
sku16109,C,X,CX
sku10733,C,Z,CZ
sku12561,C,Z,CZ
sku26470,C,Z,CZ
sku21880,C,Z,CZ
sku10154,C,Z,CZ
sku19500,C,Z,CZ
sku16767,C,X,CX
sku12244,C,Z,CZ
sku17956,C,Z,CZ
sku8742,C,Z,CZ
sku2375,C,Z,CZ
sku624,C,Z,CZ
sku7348,C,Z,CZ
sku11209,C,Z,CZ
sku6760,C,Z,CZ
sku10821,C,X,CX
sku26879,C,Z,CZ
sku16458,C,X,CX
sku9033,C,Z,CZ
sku16649,C,Z,CZ
sku1138,C,X,CX
sku15485,C,Z,CZ
sku18248,C,Z,CZ
sku21055,C,Z,CZ
sku25343,C,Z,CZ
sku12662,C,Z,CZ
sku23863,C,X,CX
sku12760,C,Z,CZ
sku28554,C,Z,CZ
sku5503,C,X,CX
sku20775,C,Z,CZ
sku15397,C,Z,CZ
sku4382,C,Z,CZ
sku10680,C,Z,CZ
sku3058,C,Z,CZ
sku20104,C,Y,CY
sku26466,C,Z,CZ
sku23897,C,Z,CZ
sku4854,C,Z,CZ
sku25785,C,Z,CZ
sku30242,C,Z,CZ
sku6317,C,Y,CY
sku16446,C,Z,CZ
sku22448,C,Z,CZ
sku9651,C,Z,CZ
sku1380,C,X,CX
sku1602,C,Z,CZ
sku7014,C,Z,CZ
sku414,C,Z,CZ
sku495,C,Z,CZ
sku24824,C,Z,CZ
sku28124,C,Z,CZ
sku5264,C,X,CX
sku25653,C,Y,CY
sku29841,C,Z,CZ
sku25916,C,Z,CZ
sku13668,C,Z,CZ
sku30545,C,Z,CZ
sku199,C,Z,CZ
sku21412,C,Z,CZ
sku1446,C,Z,CZ
sku28195,C,Z,CZ
sku27505,C,Z,CZ
sku27004,C,Z,CZ
sku6655,C,Y,CY
sku7101,C,Z,CZ
sku1448,C,Z,CZ
sku23977,C,X,CX
sku15046,C,Z,CZ
sku9470,C,Z,CZ
sku30041,C,X,CX
sku28084,C,X,CX
sku20926,C,Z,CZ
sku3952,C,Z,CZ
sku27622,C,Z,CZ
sku3442,C,Z,CZ
sku22486,C,X,CX
sku7995,C,Z,CZ
sku2947,C,X,CX
sku12165,C,Z,CZ
sku4772,C,X,CX
sku4656,C,Z,CZ
sku21293,C,Z,CZ
sku17325,C,X,CX
sku22334,C,Z,CZ
sku6217,C,Z,CZ
sku2109,C,X,CX
sku28206,C,Z,CZ
sku1549,C,Z,CZ
sku21890,C,Z,CZ
sku21562,C,Z,CZ
sku25585,C,Y,CY
sku21177,C,Z,CZ
sku17251,C,Z,CZ
sku8142,C,Z,CZ
sku7648,C,Z,CZ
sku24398,C,Z,CZ
sku24203,C,Z,CZ
sku18576,C,Z,CZ
sku22977,C,X,CX
sku19078,C,Z,CZ
sku475,C,Z,CZ
sku29141,C,Z,CZ
sku15630,C,Z,CZ
sku18471,C,Z,CZ
sku24902,C,X,CX
sku3759,C,X,CX
sku21093,C,X,CX
sku18223,C,Z,CZ
sku16733,C,Z,CZ
sku16398,C,X,CX
sku28362,C,Z,CZ
sku3085,C,Z,CZ
sku13222,C,Z,CZ
sku80,C,Z,CZ
sku12118,C,Z,CZ
sku25731,C,Z,CZ
sku11485,C,Z,CZ
sku1152,C,Z,CZ
sku11749,C,Z,CZ
sku10059,C,Z,CZ
sku27177,C,Z,CZ
sku8852,C,X,CX
sku19116,C,Z,CZ
sku822,C,Z,CZ
sku7442,C,Z,CZ
sku3443,C,Z,CZ
sku21440,C,Y,CY
sku5343,C,X,CX
sku516,C,Z,CZ
sku22861,C,Z,CZ
sku5716,C,X,CX
sku7179,C,Z,CZ
sku18858,C,X,CX
sku21563,C,X,CX
sku4166,C,Z,CZ
sku19999,C,Z,CZ
sku29947,C,Z,CZ
sku26132,C,Z,CZ
sku13811,C,Z,CZ
sku28185,C,X,CX
sku28205,C,Z,CZ
sku17478,C,Z,CZ
sku13451,C,Z,CZ
sku7124,C,X,CX
sku20286,C,Z,CZ
sku8058,C,X,CX
sku3106,C,Z,CZ
sku12733,C,Z,CZ
sku3169,C,Z,CZ
sku12775,C,Z,CZ
sku5498,C,Z,CZ
sku7539,C,Z,CZ
sku23454,C,Z,CZ
sku4185,C,X,CX
sku9322,C,Z,CZ
sku5537,C,X,CX
sku21166,C,X,CX
sku2319,C,Z,CZ
sku29652,C,Z,CZ
sku18921,C,Z,CZ
sku27310,C,Z,CZ
sku5825,C,Z,CZ
sku25136,C,Z,CZ
sku16683,C,Z,CZ
sku29804,C,Z,CZ
sku23953,C,X,CX
sku15462,C,Z,CZ
sku252,C,Z,CZ
sku9309,C,Z,CZ
sku23245,C,X,CX
sku7640,C,Z,CZ
sku23409,C,Y,CY
sku7395,C,Z,CZ
sku27180,C,Z,CZ
sku223,C,Z,CZ
sku6165,C,Z,CZ
sku3067,C,X,CX
sku3126,C,Z,CZ
sku23827,C,X,CX
sku16071,C,Z,CZ
sku274,C,Z,CZ
sku27835,C,Z,CZ
sku28568,C,Z,CZ
sku21933,C,Z,CZ
sku4762,C,Z,CZ
sku18692,C,X,CX
sku23649,C,X,CX
sku3188,C,Y,CY
sku18207,C,Z,CZ
sku23880,C,Z,CZ
sku24439,C,Z,CZ
sku23658,C,X,CX
sku6181,C,Z,CZ
sku9541,C,X,CX
sku18182,C,Z,CZ
sku15440,C,Z,CZ
sku4862,C,Z,CZ
sku15527,C,Z,CZ
sku7576,C,Z,CZ
sku1715,C,Z,CZ
sku14133,C,Y,CY
sku17994,C,Z,CZ
sku19044,C,Z,CZ
