clientID,quantity,amount,visits
client10936,4,746,1
client10937,98,50774,18
client10938,21,3769,4
client10939,1159,274672,82
client1094,45,41376,10
client10940,53,6962,6
client10941,14,10317,4
client10942,112,24333,17
client10943,14,3191,5
client10944,3,1487,1
client10945,7,12885,3
client10946,7,862,2
client10947,12,2280,1
client10948,1,4999,1
client10949,66,24785,11
client1095,238,65143,19
client10950,51,8173,4
client10951,19,13801,1
client10952,10,11915,5
client10953,35,14525,6
client10954,10,1626,1
client10955,8,4407,1
client10956,9,1863,1
client10957,92,3440,1
client10958,35,6654,5
client10959,1,7790,1
client1096,5,445,1
client10960,195,36756,15
client10961,129,130013,13
client10962,6,1280,1
client10963,3,3128,1
client10964,53,11224,7
client10965,369,72576,15
client10966,22,9178,1
client10967,12,5936,4
client10968,23,3817,1
client10969,39,5160,11
client1097,3,1127,2
client10970,168,29845,22
client10971,7,11331,1
client10972,14,4092,3
client10973,11,915,1
client10974,3,288,1
client10975,86,31600,11
client10976,13,18480,3
client10977,2,2141,1
client10978,50,29940,1
client10979,2,468,1
client1098,5,1107,3
client10980,14,19247,3
client10981,13,4990,2
client10982,4,1136,1
client10983,9,2193,2
client10984,2,98,1
client10985,30,9939,4
client10986,44,5436,3
client10987,130,40587,33
client10988,1,1899,1
client10989,2,750,1
client1099,24,19839,1
client10990,3,4598,2
client10991,62,20862,6
client10992,89,16976,7
client10993,2,3088,1
client10994,15,2720,6
client10995,13,6557,1
client10996,1,4999,1
client10997,12,6929,3
client10998,16,4382,7
client10999,14,546,1
client11,29,10979,6
client110,248,42469,38
client1100,4,4896,1
client11000,8,2276,3
client11001,194,33253,31
client11002,31,32311,6
client11003,18,2122,6
client11004,175,36895,13
client11005,11,1509,1
client11006,2,578,1
client11007,382,143856,10
client11008,61,4062,5
client11009,9,981,2
client1101,41,5826,8
client11010,1,1999,1
client11011,21,6681,2
client11012,237,31034,5
client11013,7,6333,1
client11014,23,9576,2
client11015,10,2602,3
client11016,22,23839,3
client11017,1,2100,1
client11018,1,2552,1
client11019,17,6105,4
client1102,8,3742,2
client11020,7,3805,5
client11021,1,1559,1
client11022,99,23632,7
client11023,101,17338,28
client11024,26,5895,7
client11025,2,1378,1
client11026,44,15313,3
client11027,1,3499,1
client11028,41,24990,12
client11029,21,847,3
client1103,11,6039,2
client11030,33,7496,5
client11031,155,26082,30
client11032,72,3726,3
client11033,5,923,2
client11034,22,3177,3
client11035,204,28072,16
client11036,33,5828,2
client11037,8,1868,3
client11038,44,7305,5
client11039,15,1957,1
client1104,67,19205,3
client11040,5,2785,1
client11041,15,1860,1
client11042,10,2388,1
client11043,10,1553,2
client11044,85,25335,10
client11045,24,16898,11
client11046,53,21828,13
client11047,18,2955,5
client11048,20,1504,3
client11049,19,46664,4
client1105,34,7901,7
client11050,19,2721,2
client11051,10,1246,1
client11052,72,21953,3
client11053,2,4499,1
client11054,17,2153,1
client11055,10,8368,3
client11056,1,143,1
client11057,8,1123,1
client11058,9,1651,1
client11059,9,3935,1
client1106,8,936,1
client11060,337,83665,34
client11061,80,14364,8
client11062,10,3752,4
client11063,8,12610,2
client11064,5,319,1
client11065,6,530,2
client11066,3,16697,1
client11067,195,55929,42
client11068,13,417,1
client11069,47,13318,8
client1107,15,8325,6
client11070,30,23348,6
client11071,50,35042,7
client11072,81,22000,7
client11073,206,95287,10
client11074,8,2122,3
client11075,52,5068,4
client11076,3,8612,2
client11077,1,18990,1
client11078,3,1347,2
client11079,1,229,1
client1108,4,6253,2
client11080,272,13564,23
client11081,1,2699,1
client11082,5,2894,2
client11083,9,1796,3
client11084,4,1116,1
client11085,7,3933,1
client11086,10,7222,5
client11087,3,9147,1
client11088,12,1511,3
client11089,22,14202,5
client1109,58,18859,13
client11090,45,19936,4
client11091,7,943,1
client11092,153,26865,16
client11093,2,11125,1
client11094,2,12889,1
client11095,46,20819,4
client11096,44,19425,7
client11097,9,2757,2
